Маленькая квартира	Самое лучшее место для шопинга	2024-05-07T16:12:22.714Z	Cologne 	markup/img/amsterdam.jpg	markup/img/apartment-01.jpg;markup/img/apartment-02.jpg;markup/img/apartment-03.jpg	true	false	2	room	7	2	68073	Laptop friendly workspace;Baby seat;Washer	Вин Дизель	disel@mail.ru	markup/img/avatar-max.jpg	asdzxcza	pro	36	53.370216;5.895168
Классный коттедж	Рядом самые топовые ночные клубы и бары	2024-05-06T16:12:22.715Z	Brussels 	markup/img/amsterdam.jpg	markup/img/apartment-02.jpg	false	false	1	house	8	8	51028	Towels;Fridge	Колобок Альбертович	kolobok@mail.ru	markup/img/avatar-max.jpg	kolobok	pro	55	53.370216;5.895168
Классный коттедж	Вам понравится тут отдыхать. Много классных мест	2024-05-06T16:12:22.715Z	Brussels 	markup/img/amsterdam.jpg	markup/img/apartment-02.jpg;markup/img/apartment-03.jpg	true	false	4	hotel	4	7	59906	Towels;Fridge	Лиса Алексеевна	lisa@mail.ru	markup/img/avatar-angelina.jpg	asaaqzx	user	28	54.550341;11.000654
Классный коттедж	Самое лучшее место для шопинга	2024-05-03T16:12:22.715Z	Cologne 	markup/img/amsterdam.jpg	markup/img/apartment-03.jpg;markup/img/apartment-01.jpg;markup/img/apartment-02.jpg;markup/img/apartment-03.jpg	true	false	5	house	3	4	5121	Towels;Fridge	Уилл Смит	smit@mail.ru	markup/img/avatar-max.jpg	qwasdaqw	user	54	49.85661;3.351499
Крошечная комната	Замечательный вид на достопремичательности	2024-05-07T16:12:22.715Z	Amsterdam 	markup/img/amsterdam.jpg	markup/img/apartment-02.jpg;markup/img/apartment-03.jpg;markup/img/apartment-01.jpg;markup/img/apartment-02.jpg;markup/img/apartment-03.jpg	false	true	4	house	5	6	20815	Baby seat;Washer;Towels	Колобок Альбертович	kolobok@mail.ru	markup/img/avatar-max.jpg	kolobok	pro	99	52.225402;7.776314
Маленькая квартира	Рядом самые топовые ночные клубы и бары	2024-05-05T16:12:22.715Z	Hamburg 	markup/img/amsterdam.jpg	markup/img/apartment-01.jpg;markup/img/apartment-02.jpg;markup/img/apartment-03.jpg	false	true	3	room	4	1	58853	Washer;Towels;Fridge	Пупкин Вася	vasya@mail.ru	markup/img/avatar-max.jpg	123123qw	user	43	51.846557;5.351697
Классный коттедж	Замечательный вид на достопремичательности	2024-05-08T16:12:22.715Z	Dusseldorf 	markup/img/amsterdam.jpg	markup/img/apartment-01.jpg;markup/img/apartment-02.jpg;markup/img/apartment-03.jpg	false	false	2	house	4	1	95542	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Пупкин Вася	vasya@mail.ru	markup/img/avatar-max.jpg	123123qw	user	87	54.550341;11.000654
Светлый отель	Рядом самые топовые ночные клубы и бары	2024-05-07T16:12:22.715Z	Dusseldorf 	markup/img/amsterdam.jpg	markup/img/apartment-02.jpg;markup/img/apartment-03.jpg;markup/img/apartment-01.jpg;markup/img/apartment-02.jpg	false	true	4	house	6	3	39809	Air conditioning	Уилл Смит	smit@mail.ru	markup/img/avatar-max.jpg	qwasdaqw	user	17	53.370216;5.895168
Квартира с видом на улицу	Вам понравится тут отдыхать. Много классных мест	2024-05-04T16:12:22.715Z	Brussels 	markup/img/amsterdam.jpg	markup/img/apartment-01.jpg;markup/img/apartment-02.jpg;markup/img/apartment-03.jpg;markup/img/apartment-01.jpg	false	true	2	hotel	6	3	81883	Air conditioning;Laptop friendly workspace;Baby seat	Вин Дизель	disel@mail.ru	markup/img/avatar-max.jpg	asdzxcza	pro	19	49.85661;3.351499
Маленькая квартира	Самое лучшее место для шопинга	2024-05-06T16:12:22.715Z	Cologne 	markup/img/amsterdam.jpg	markup/img/apartment-03.jpg	true	false	4	room	4	6	78223	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels	Колобок Альбертович	kolobok@mail.ru	markup/img/avatar-max.jpg	kolobok	pro	57	53.370216;5.895168
